"Date","Workout name","Exercise","Set","Weight","Reps","Distance","Duration","Measurement unit","Notes"
"2025-07-11 13:39:07","B","Puxada aberta frontal","1","42","10","","","kg",
"2025-07-11 13:39:07","B","Puxada aberta frontal","2","42","10","","","kg",
"2025-07-11 13:39:07","B","Puxada aberta frontal","3","42","10","","","kg",
"2025-07-11 13:39:07","B","Puxada aberta frontal","4","42","8","","","kg",
"2025-07-11 13:39:07","B","Remada na polia sentado","1","37","13","","","kg",
"2025-07-11 13:39:07","B","Remada na polia sentado","2","37","11","","","kg",
"2025-07-11 13:39:07","B","Remada na polia sentado","3","37","11","","","kg",
"2025-07-11 13:39:07","B","Remada na polia sentado","4","37","11","","","kg",
"2025-07-11 13:39:07","B","Puxada pela frente neutra","1","42","14","","","kg",
"2025-07-11 13:39:07","B","Puxada pela frente neutra","2","42","12","","","kg",
"2025-07-11 13:39:07","B","Puxada pela frente neutra","3","42","11","","","kg",
"2025-07-11 13:39:07","B","Puxada pela frente neutra","4","42","10","","","kg",
"2025-07-11 13:39:07","B","Elevação lateral com halteres","1","6","11","","","kg",
"2025-07-11 13:39:07","B","Elevação lateral com halteres","2","6","10","","","kg",
"2025-07-11 13:39:07","B","Elevação lateral com halteres","3","6","10","","","kg",
"2025-07-11 13:39:07","B","Elevação lateral com halteres","4","6","9","","","kg",
"2025-07-11 13:39:07","B","Rosca direta com barra reta","1","15","12","","","kg",
"2025-07-11 13:39:07","B","Rosca direta com barra reta","2","15","11","","","kg",
"2025-07-11 13:39:07","B","Rosca direta com barra reta","3","15","10","","","kg",
"2025-07-11 13:39:07","B","Rosca direta com barra reta","4","15","9","","","kg",
"2025-07-11 13:39:07","B","Rosca alternada com halter","1","8","8","","","kg",
"2025-07-11 13:39:07","B","Rosca alternada com halter","2","7","9","","","kg",
"2025-07-11 13:39:07","B","Rosca alternada com halter","3","7","8","","","kg",
"2025-07-11 13:39:07","B","Rosca alternada com halter","4","7","8","","","kg",
"2025-07-21 17:49:35","A","Supino reto com halteres","1","14","14","","","kg",
"2025-07-21 17:49:35","A","Supino reto com halteres","2","14","13","","","kg",
"2025-07-21 17:49:35","A","Supino reto com halteres","3","14","10","","","kg",
"2025-07-21 17:49:35","A","Supino reto com halteres","4","14","9","","","kg",
"2025-07-21 17:49:35","A","Supino inclinado com halteres","1","10","13","","","kg",
"2025-07-21 17:49:35","A","Supino inclinado com halteres","2","10","11","","","kg",
"2025-07-21 17:49:35","A","Supino inclinado com halteres","3","10","10","","","kg",
"2025-07-21 17:49:35","A","Supino inclinado com halteres","4","10","10","","","kg",
"2025-07-21 17:49:35","A","Crucifixo na máquina","1","6","12","","","kg",
"2025-07-21 17:49:35","A","Crucifixo na máquina","2","6","12","","","kg",
"2025-07-21 17:49:35","A","Crucifixo na máquina","3","6","12","","","kg",
"2025-07-21 17:49:35","A","Crucifixo na máquina","4","6","11","","","kg",
"2025-07-21 17:49:35","A","Elevação frontal com halteres","1","5","12","","","kg",
"2025-07-21 17:49:35","A","Elevação frontal com halteres","2","5","11","","","kg",
"2025-07-21 17:49:35","A","Elevação frontal com halteres","3","5","10","","","kg",
"2025-07-21 17:49:35","A","Elevação frontal com halteres","4","5","9","","","kg",
"2025-07-21 17:49:35","A","Mergulho de tríceps assistido","1","45","6","","","kg",
"2025-07-21 17:49:35","A","Mergulho de tríceps assistido","2","45","5","","","kg",
"2025-07-21 17:49:35","A","Mergulho de tríceps assistido","3","45","4","","","kg",
"2025-07-21 17:49:35","A","Mergulho de tríceps assistido","4","45","5","","","kg",
"2025-07-21 17:49:35","A","Tríceps pulley na polia alta","1","5","12","","","kg",
"2025-07-21 17:49:35","A","Tríceps pulley na polia alta","2","5","11","","","kg",
"2025-07-21 17:49:35","A","Tríceps pulley na polia alta","3","5","10","","","kg",
"2025-07-21 17:49:35","A","Tríceps pulley na polia alta","4","5","10","","","kg",
"2025-07-22 16:33:21","B","Puxada aberta frontal","1","42","14","","","kg",
"2025-07-22 16:33:21","B","Puxada aberta frontal","2","42","13","","","kg",
"2025-07-22 16:33:21","B","Puxada aberta frontal","3","42","12","","","kg",
"2025-07-22 16:33:21","B","Puxada aberta frontal","4","42","11","","","kg",
